Time,medium.com,mojok.co,ugm.ac.id
2023-07-07 9:14:03,20.305,40.59555556,6.93625
2023-07-07 9:14:05,21.71833333,34.68285714,14.5125
2023-07-07 9:14:08,13.28833333,23.29285714,8.72625
2023-07-07 9:14:08,13.92,33.46444444,16.3375
2023-07-07 9:14:10,31.39,20.11857143,22.16125
2023-07-07 9:14:13,32.92636364,30.79777778,70.99625
2023-07-07 9:14:15,32.75272727,30.19333333,5.41875
2023-07-07 9:14:18,80.29333333,21.79,3.65875
2023-07-07 9:14:20,60.31416667,42.48833333,5.32625
2023-07-07 9:14:23,8.825,46.07285714,109.8757143
2023-07-07 9:14:25,9.741666667,31.84555556,19.8425
2023-07-07 9:14:28,9.461666667,52.67,15.87625
2023-07-07 9:14:30,8.734166667,46.81875,4.4325
2023-07-07 9:14:33,9.399166667,77.46875,18.5575
2023-07-07 9:14:35,11.83583333,18.18625,2.795
2023-07-07 9:14:38,11.83166667,21.95125,4.86875
2023-07-07 9:14:40,9.856666667,27.11285714,5.67875
2023-07-07 9:14:43,19.45583333,24.16,6.7625
2023-07-07 9:14:45,18.97166667,52.37875,9.24875
2023-07-07 9:14:48,20.145,82.7225,3.05125
2023-07-07 9:14:50,21.03166667,31.99428571,3.5775
2023-07-07 9:14:53,9.9625,19.99666667,7.7875
2023-07-07 9:14:55,11.29416667,20.21,9.46625
2023-07-07 9:14:58,11.3325,18.745,5.68875
2023-07-07 9:15:00,9.986666667,85.28875,9.86625
