Time,medium.com-fo,mojok.co-fo,ugm.ac.id-fo,medium.com-wireless,mojok.co-wireless,ugm.ac.id-wireless
2023-07-07 9:10:00,13.585,14.50428571,3.95,27.465,25.60444444,
2023-07-07 9:10:03,14.13333333,17.24285714,3.90875,16.13666667,20.85125,
2023-07-07 9:10:05,13.15333333,20.2525,4.10125,23.58166667,31.175,
2023-07-07 9:10:08,10.32,22.45888889,4.595,25.67833333,25.23,
2023-07-07 9:10:10,15.5725,18.91571429,5.99,18.06166667,25.51222222,
2023-07-07 9:10:13,21.02083333,234.6657143,6.13875,26.38666667,32.8125,
2023-07-07 9:10:15,21.8825,14.94857143,4.64625,37.19333333,28.33333333,
2023-07-07 9:10:18,16.68583333,16.2225,4.225,23.15833333,26.04625,
2023-07-07 9:10:20,17.80416667,15.74444444,4.17625,29.00833333,28.59875,
2023-07-07 9:10:23,16.775,40.71571429,4.84875,20.71,24.81571429,
2023-07-07 9:10:25,8.95,38.375,3.5625,34.16833333,27.34375,
2023-07-07 9:10:28,10.59,26.93875,10.3525,33.75,27.58625,
2023-07-07 9:10:30,11.19,21.58375,8.19375,29.155,4.56,
2023-07-07 9:10:33,10.00166667,14.695,5.67375,11.43166667,35.29142857,
2023-07-07 9:10:35,13.6475,27.5975,5.915,12.125,29.49,
2023-07-07 9:10:38,15.44333333,19.79857143,4.8175,12.89833333,25.6,
2023-07-07 9:10:40,15.87583333,18.38333333,5.03125,15.75833333,30.08375,
2023-07-07 9:10:43,14.22333333,28.75285714,4.29,12.11833333,23.1325,
2023-07-07 9:10:45,12.53666667,41.14666667,48.59125,11.015,54.70285714,
2023-07-07 9:10:48,13.04666667,82.575,5.5675,11.53,43.29125,
2023-07-07 9:10:50,10.66083333,17.4375,3.59875,15.575,156.65,
2023-07-07 9:10:53,11.07416667,19.951,5.6525,39.63333333,40.96666667,
2023-07-07 9:10:55,10.59666667,17.94777778,4.06,10.18833333,27.39285714,
2023-07-07 9:10:58,11.1125,25.53777778,6.15125,16.45,29.66777778,
2023-07-07 9:11:00,10.00916667,35.47125,4.0425,12.445,24.12285714,
2023-07-07 9:11:03,9.0175,28.1175,4.70875,9.861666667,31.14142857,
2023-07-07 9:11:05,10.46,56.3775,5.14,10.31666667,25.33571429,
2023-07-07 9:11:08,10.0225,26.88857143,3.8675,14.68666667,26.31285714,
2023-07-07 9:11:10,23.03083333,50.22375,3.81625,10.50333333,34.96857143,
2023-07-07 9:11:13,24.63333333,203.8025,3.7075,25.6,31.54428571,
2023-07-07 9:11:15,12.34833333,61.36,4.89375,10.62833333,26.235,
2023-07-07 9:11:18,10.8475,35.9175,5.305,13.49666667,26.48285714,
2023-07-07 9:11:20,11.05833333,84.2225,4.04875,12.14166667,24.41333333,
2023-07-07 9:11:23,26.18166667,44.34571429,4.25375,10.975,25.06625,
2023-07-07 9:11:25,55.39416667,35.12285714,4.15875,11.01666667,27.55857143,
2023-07-07 9:11:28,86.97166667,58.91833333,3.29125,10.805,27.04,
2023-07-07 9:11:30,56.33,20.30555556,5.69625,15.28333333,32.305,
2023-07-07 9:11:33,12.48416667,30.79555556,4.39875,14.66333333,19.69857143,
2023-07-07 9:11:35,14.44583333,164.2633333,5.03125,10.97333333,22.00333333,
2023-07-07 9:11:38,12.4975,24.64222222,5.445,13.42166667,19.8,
2023-07-07 9:11:40,14.80583333,38.86333333,4.13625,11.425,22.48714286,
2023-07-07 9:11:43,23.09666667,24.64,3.8275,9.361666667,19.33571429,
2023-07-07 9:11:45,113.1836364,54.30875,8.71875,9.356666667,18.365,
2023-07-07 9:11:48,137.8972727,39.1775,3.92625,10.76,18.04125,
2023-07-07 9:11:50,84.525,11.93333333,5.36375,12.79166667,23.40111111,
2023-07-07 9:11:53,59.47166667,26.495,9.61875,10.23666667,30.35714286,
2023-07-07 9:11:55,34.34583333,25.7825,5.84125,9.986666667,18.1775,
2023-07-07 9:11:58,27.095,42.226,4.2675,9.341666667,17.92,
2023-07-07 9:12:00,10.3425,38.22142857,4.7075,11.69166667,20.575,
2023-07-07 9:12:03,11.085,57.1525,4.82625,11.19833333,17.96857143,
2023-07-07 9:12:05,9.474166667,42.86,5.9575,9.958333333,22.05125,
2023-07-07 9:12:08,11.34083333,49.66,4.01,10.84166667,18.24625,
2023-07-07 9:12:10,18.39083333,28.05571429,3.53125,10.66166667,21.54555556,
2023-07-07 9:12:13,20.02083333,40.81,4.1125,10.19333333,18.18125,
2023-07-07 9:12:15,15.0525,18.19,4.435,10.04333333,19.20375,
2023-07-07 9:12:18,16.54083333,19.12,4.01375,16.96833333,18.84857143,
2023-07-07 9:12:20,15.7025,16.89285714,4.98125,44.23666667,21.248,
2023-07-07 9:12:23,18.7475,28.03285714,4.24125,20.22,20.288,
2023-07-07 9:12:25,17.24666667,47.019,4.6025,18.13,18.63888889,
2023-07-07 9:12:28,10.61583333,18.145,5.37125,11.57333333,22.42571429,
2023-07-07 9:12:30,11.9125,22.62571429,9.31375,18.65833333,18.89111111,
2023-07-07 9:12:33,19.03416667,20.28714286,3.50375,17.795,19.45857143,
