Time,Hari 1 - Wireless,Hari 2  - Wireless,Hari 3  - Wireless
2023-07-07 9:13:08,"205,06","151,5","31,72"
2023-07-07 9:13:10,"29,71","25,88","29,06"
2023-07-07 9:13:13,,,"36,17"
2023-07-07 9:13:15,,,"32,1"
2023-07-07 9:13:18,,,"32,1"
2023-07-07 9:13:20,,,
2023-07-07 9:13:23,,,
2023-07-07 9:13:25,,,
2023-07-07 9:13:28,,,
2023-07-07 9:13:30,,,
2023-07-07 9:13:33,,,
2023-07-07 9:13:35,,,
2023-07-07 9:13:38,,,
2023-07-07 9:13:40,,,
2023-07-07 9:13:43,,,
2023-07-07 9:13:45,,,
2023-07-07 9:13:48,,,
2023-07-07 9:13:50,,,
2023-07-07 9:13:53,,,
2023-07-07 9:13:55,,,
2023-07-07 9:13:58,,,
2023-07-07 9:14:00,,,
2023-07-07 9:14:03,,,
2023-07-07 9:14:05,,,
2023-07-07 9:14:08,,,
2023-07-07 9:14:10,,,
2023-07-07 9:14:13,,,
2023-07-07 9:14:15,,,
2023-07-07 9:14:18,,,
2023-07-07 9:14:20,,,
2023-07-07 9:14:23,,,
2023-07-07 9:14:25,,,
2023-07-07 9:14:28,,,
2023-07-07 9:14:30,,,
2023-07-07 9:14:33,,,
2023-07-07 9:14:35,,,
2023-07-07 9:14:38,,,
2023-07-07 9:14:40,,,
2023-07-07 9:14:43,,,
2023-07-07 9:14:45,,,
2023-07-07 9:14:48,,,
2023-07-07 9:14:50,,,
2023-07-07 9:14:53,,,
2023-07-07 9:14:55,,,
2023-07-07 9:14:58,,,
2023-07-07 9:15:00,,,
2023-07-07 9:15:03,,,
2023-07-07 9:15:05,,,
2023-07-07 9:15:08,,,
2023-07-07 9:15:10,,,
2023-07-07 9:15:13,,,
2023-07-07 9:15:15,,,
2023-07-07 9:15:18,,,
2023-07-07 9:15:20,,,
2023-07-07 9:15:23,,,
2023-07-07 9:15:25,,,
2023-07-07 9:15:28,,,
2023-07-07 9:15:30,,,
2023-07-07 9:15:33,,,
2023-07-07 9:15:36,,,
2023-07-07 9:15:38,,,
2023-07-07 9:15:41,,,
2023-07-07 9:15:43,,,
2023-07-07 9:15:46,,,
2023-07-07 9:15:48,,,
2023-07-07 9:15:51,,,
2023-07-07 9:15:53,,,
2023-07-07 9:15:56,,,
2023-07-07 9:15:58,,,
2023-07-07 9:16:01,,,
2023-07-07 9:16:03,,,
2023-07-07 9:16:06,,,
2023-07-07 9:16:08,,,
2023-07-07 9:16:11,,,
2023-07-07 9:16:13,,,
2023-07-07 9:16:16,,,
2023-07-07 9:16:18,,,
2023-07-07 9:16:21,,,
2023-07-07 9:16:23,,,
2023-07-07 9:16:26,,,
2023-07-07 9:16:28,,,
2023-07-07 9:16:31,,,
2023-07-07 9:16:33,,,
2023-07-07 9:16:36,,,
2023-07-07 9:16:38,,,
2023-07-07 9:16:41,,,
2023-07-07 9:16:43,,,
2023-07-07 9:16:46,,,
2023-07-07 9:16:48,,,
2023-07-07 9:16:51,,,
2023-07-07 9:16:53,,,
2023-07-07 9:16:56,,,
2023-07-07 9:16:58,,,
2023-07-07 9:17:01,,,
2023-07-07 9:17:03,,,
2023-07-07 9:17:06,,,
2023-07-07 9:17:08,,,
2023-07-07 9:17:11,,,
2023-07-07 9:17:13,,,
2023-07-07 9:17:16,,,
2023-07-07 9:17:18,,,
2023-07-07 9:17:21,,,
2023-07-07 9:17:23,,,
2023-07-07 9:17:26,,,
2023-07-07 9:17:28,,,
2023-07-07 9:17:31,,,
2023-07-07 9:17:33,,,
2023-07-07 9:17:36,,,
2023-07-07 9:17:38,,,
2023-07-07 9:17:41,,,
2023-07-07 9:17:43,,,
2023-07-07 9:17:46,,,
2023-07-07 9:17:48,,,
2023-07-07 9:17:51,,,
2023-07-07 9:17:53,,,
2023-07-07 9:17:56,,,
2023-07-07 9:17:58,,,
2023-07-07 9:18:01,,,
2023-07-07 9:18:03,,,
2023-07-07 9:18:06,,,
2023-07-07 9:18:08,,,
2023-07-07 9:18:11,,,
2023-07-07 9:18:13,,,
